site,date,name,pick,position,type,url
Fox Sports - Kurtenbach,2017-04-29,Sam Darnold,1,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Derwin James,2,S,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Arden Key,3,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Tarvarus McFadden,4,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Mike McGlinchey,5,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Josh Allen (WYO),6,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Josh Rosen,7,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Saquon Barkley,8,RB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Martinas Rankin,9,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jarrett Stidham,10,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Sam Hubbard,11,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Christian Wilkins,12,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Tyquan Lewis,13,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Da'Shawn Hand,14,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
